Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Kuskokwim River Sonar,,,2019,07/04,Kuskokwim River Sonar,Chum,12041,12041,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/05,Kuskokwim River Sonar,Chum,13636,13636,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/06,Kuskokwim River Sonar,Chum,12108,12108,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/07,Kuskokwim River Sonar,Chum,7537,7537,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/08,Kuskokwim River Sonar,Chum,7775,7775,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/09,Kuskokwim River Sonar,Chum,5166,5166,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/10,Kuskokwim River Sonar,Chum,9124,9124,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/11,Kuskokwim River Sonar,Chum,10908,10908,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/12,Kuskokwim River Sonar,Chum,2258,2258,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/13,Kuskokwim River Sonar,Chum,7864,7864,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/14,Kuskokwim River Sonar,Chum,28988,28988,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/15,Kuskokwim River Sonar,Chum,13132,13132,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/16,Kuskokwim River Sonar,Chum,21221,21221,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/17,Kuskokwim River Sonar,Chum,28465,28465,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/18,Kuskokwim River Sonar,Chum,19040,19040,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/19,Kuskokwim River Sonar,Chum,11359,11359,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/20,Kuskokwim River Sonar,Chum,17888,17888,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/21,Kuskokwim River Sonar,Chum,12102,12102,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/22,Kuskokwim River Sonar,Chum,4273,4273,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/23,Kuskokwim River Sonar,Chum,2585,2585,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/24,Kuskokwim River Sonar,Chum,12525,12525,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/25,Kuskokwim River Sonar,Chum,13927,13927,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/26,Kuskokwim River Sonar,Chum,24121,24121,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/01,Kuskokwim River Sonar,Chum,,,No Data,Sonar
