Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Kuskokwim River Sonar,,,2019,06/30,Kuskokwim River Sonar,Sockeye,46924,46924,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/01,Kuskokwim River Sonar,Sockeye,32559,32559,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/02,Kuskokwim River Sonar,Sockeye,18672,18672,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/03,Kuskokwim River Sonar,Sockeye,32826,32826,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/04,Kuskokwim River Sonar,Sockeye,53893,53893,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/05,Kuskokwim River Sonar,Sockeye,38297,38297,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/06,Kuskokwim River Sonar,Sockeye,39631,39631,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/07,Kuskokwim River Sonar,Sockeye,38081,38081,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/08,Kuskokwim River Sonar,Sockeye,24436,24436,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/09,Kuskokwim River Sonar,Sockeye,17380,17380,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/10,Kuskokwim River Sonar,Sockeye,11541,11541,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/11,Kuskokwim River Sonar,Sockeye,17108,17108,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/12,Kuskokwim River Sonar,Sockeye,21467,21467,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/13,Kuskokwim River Sonar,Sockeye,17519,17519,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/14,Kuskokwim River Sonar,Sockeye,20981,20981,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/15,Kuskokwim River Sonar,Sockeye,24151,24151,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/16,Kuskokwim River Sonar,Sockeye,20051,20051,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/17,Kuskokwim River Sonar,Sockeye,17576,17576,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/18,Kuskokwim River Sonar,Sockeye,14345,14345,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/19,Kuskokwim River Sonar,Sockeye,18755,18755,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/20,Kuskokwim River Sonar,Sockeye,8761,8761,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/21,Kuskokwim River Sonar,Sockeye,17038,17038,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/22,Kuskokwim River Sonar,Sockeye,27237,27237,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/23,Kuskokwim River Sonar,Sockeye,27047,27047,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/24,Kuskokwim River Sonar,Sockeye,11432,11432,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/25,Kuskokwim River Sonar,Sockeye,6826,6826,Calculated,Sonar
Kuskokwim River Sonar,,,2019,07/26,Kuskokwim River Sonar,Sockeye,5950,5950,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/01,Kuskokwim River Sonar,Sockeye,,,No Data,Sonar
Kuskokwim River Sonar,,,2020,06/02,Kuskokwim River Sonar,Sockeye,,,No Data,Sonar
Kuskokwim River Sonar,,,2020,06/03,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/04,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/05,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/06,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/07,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/08,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/09,Kuskokwim River Sonar,Sockeye,950,950,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/10,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/11,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/12,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/13,Kuskokwim River Sonar,Sockeye,286,286,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/14,Kuskokwim River Sonar,Sockeye,1268,1268,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/15,Kuskokwim River Sonar,Sockeye,2080,2080,Calculated,Sonar
